date,rank,title,author,last_week,peak,total_week
2021-11-14,1,Easy On Me,Adele,1,1,5
2021-11-14,2,Stay,The Kid LAROI & Justin Bieber,2,1,18
2021-11-14,3,Industry Baby,Lil Nas X & Jack Harlow,3,1,16
2021-11-14,4,Bad Habits,Ed Sheeran,4,2,20
2021-11-14,5,Shivers,Ed Sheeran,6,5,9
2021-11-14,6,One Right Now,Post Malone & The Weeknd,NEW,Post Malone & The Weeknd,-
2021-11-14,7,Fancy Like,Walker Hayes,5,3,21
2021-11-14,8,Smokin Out The Window,Silk Sonic (Bruno Mars & Anderson .Paak),NEW,Silk Sonic (Bruno Mars & Anderson .Paak),-
2021-11-14,9,Need To Know,Doja Cat,8,8,22
2021-11-14,10,Heat Waves,Glass Animals,10,10,43
2021-11-14,11,Escape Plan,Travis Scott,NEW,Travis Scott,-
2021-11-14,12,Way 2 Sexy,Drake Featuring Future & Young Thug,7,1,10
2021-11-14,13,No Love,Summer Walker & SZA,NEW,Summer Walker & SZA,-
2021-11-14,14,Cold Heart (PNAU Remix),Elton John & Dua Lipa,14,14,10
2021-11-14,15,Good 4 U,Olivia Rodrigo,9,1,26
2021-11-14,16,Essence,Wizkid Featuring Justin Bieber & Tems,12,9,19
2021-11-14,17,Beggin',Maneskin,13,13,20
2021-11-14,18,Levitating,Dua Lipa,11,2,58
2021-11-14,19,You Right,Doja Cat & The Weeknd,16,11,20
2021-11-14,20,Kiss Me More,Doja Cat Featuring SZA,15,3,31
2021-11-14,21,If I Didn't Love You,Jason Aldean & Carrie Underwood,18,15,16
2021-11-14,22,Save Your Tears,The Weeknd & Ariana Grande,17,1,48
2021-11-14,23,Knife Talk,Drake Featuring 21 Savage & Project Pat,22,4,10
2021-11-14,24,Chasing After You,Ryan Hurd With Maren Morris,25,23,28
2021-11-14,25,Bitter,Summer Walker & Cardi B,NEW,Summer Walker & Cardi B,-
2021-11-14,26,Mafia,Travis Scott,NEW,Travis Scott,-
2021-11-14,27,Meet Me At Our Spot,THE ANXIETY: WILLOW & Tyler Cole,21,21,9
2021-11-14,28,Girls Want Girls,Drake Featuring Lil Baby,26,2,10
2021-11-14,29,Better Days,NEIKED X Mae Muller X Polo G,29,29,4
2021-11-14,30,Buy Dirt,Jordan Davis Featuring Luke Bryan,31,30,14
2021-11-14,31,Happier Than Ever,Billie Eilish,28,11,15
2021-11-14,32,Love Nwantiti (Ah Ah Ah),CKay,33,31,8
2021-11-14,33,Ex For A Reason,Summer Walker & JT,"RE-
ENTRY",Summer Walker & JT,-
2021-11-14,34,Traitor,Olivia Rodrigo,20,9,25
2021-11-14,35,Who Want Smoke??,"Nardo Wick Featuring G Herbo, Lil Durk & 21 Savage",24,17,5
2021-11-14,36,Ghost,Justin Bieber,35,32,7
2021-11-14,37,Pepas,Farruko,30,25,16
2021-11-14,38,Thats What I Want,Lil Nas X,32,10,8
2021-11-14,39,Cold As You,Luke Combs,34,34,15
2021-11-14,40,Thinking 'Bout You,Dustin Lynch Featuring Lauren Alaina Or MacKenzie Porter,36,36,13
2021-11-14,41,Throw It Away,Summer Walker,NEW,Summer Walker,-
2021-11-14,42,Montero (Call Me By Your Name),Lil Nas X,27,1,33
2021-11-14,43,My Universe,Coldplay x BTS,23,1,7
2021-11-14,44,Reciprocate,Summer Walker,NEW,Summer Walker,-
2021-11-14,45,Toxic,Summer Walker Featuring Lil Durk,NEW,Summer Walker Featuring Lil Durk,-
2021-11-14,46,Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),44,1,36
2021-11-14,47,You Should Probably Leave,Chris Stapleton,39,39,19
2021-11-14,48,Unloyal,Summer Walker & Ari Lennox,NEW,Summer Walker & Ari Lennox,-
2021-11-14,49,Constant Bulls**t,Summer Walker,NEW,Summer Walker,-
2021-11-14,50,You Don't Know Me,Summer Walker,NEW,Summer Walker,-
2021-11-14,51,Same Boat,Zac Brown Band,48,48,8
2021-11-14,52,Insane,Summer Walker,NEW,Summer Walker,-
2021-11-14,53,Wild Side,Normani Featuring Cardi B,43,14,17
2021-11-14,54,Circus,Summer Walker,NEW,Summer Walker,-
2021-11-14,55,Have Mercy,Chloe,51,28,9
2021-11-14,56,4th Baby Mama,Summer Walker,NEW,Summer Walker,-
2021-11-14,57,Family Ties,Baby Keem & Kendrick Lamar,49,18,11
2021-11-14,58,Gyalis,Capella Grey,46,38,15
2021-11-14,59,Switch A N*gga Out,Summer Walker,NEW,Summer Walker,-
2021-11-14,60,Closure,Summer Walker,NEW,Summer Walker,-
2021-11-14,61,Chosen,Blxst & Tyga Featuring Ty Dolla $ign,53,53,7
2021-11-14,62,Sharing Locations,Meek Mill Featuring Lil Baby & Lil Durk,50,22,11
2021-11-14,63,One Mississippi,Kane Brown,59,59,7
2021-11-14,64,I Was On A Boat That Day,Old Dominion,47,37,19
2021-11-14,65,Memory,Kane Brown X blackbear,60,50,18
2021-11-14,66,Fair Trade,Drake Featuring Travis Scott,55,3,10
2021-11-14,67,Knowing You,Kenny Chesney,57,57,13
2021-11-14,68,Session 33,Summer Walker,NEW,Summer Walker,-
2021-11-14,69,Sand In My Boots,Morgan Wallen,62,32,17
2021-11-14,70,Take My Breath,The Weeknd,45,6,14
2021-11-14,71,Moth To A Flame,Swedish House Mafia & The Weeknd,54,27,3
2021-11-14,72,A-O-K,Tai Verdes,52,34,19
2021-11-14,73,Screwin,Summer Walker & Omarion,NEW,Summer Walker & Omarion,-
2021-11-14,74,Bubbly,Young Thug With Drake & Travis Scott,56,20,4
2021-11-14,75,Whiskey And Rain,Michael Ray,67,67,6
2021-11-14,76,Broken Promises,Summer Walker,NEW,Summer Walker,-
2021-11-14,77,Dat Right There,"Summer Walker, Pharrell Williams & The Neptunes",NEW,"Summer Walker, Pharrell Williams & The Neptunes",-
2021-11-14,78,Tequila Little Time,Jon Pardi,68,68,5
2021-11-14,79,Memory I Don't Mess With,Lee Brice,58,33,16
2021-11-14,80,Sad Girlz Luv Money,Amaarae & Moliy Featuring Kali Uchis,NEW,Amaarae & Moliy Featuring Kali Uchis,-
2021-11-14,81,Slow Down Summer,Thomas Rhett,NEW,Thomas Rhett,-
2021-11-14,82,'Til You Can't,Cody Johnson,70,65,5
2021-11-14,83,Woman,Doja Cat,64,62,15
2021-11-14,84,Freedom Was A Highway,Jimmie Allen & Brad Paisley,84,82,5
2021-11-14,85,Overpass Graffiti,Ed Sheeran,41,41,2
2021-11-14,86,Big Energy,Latto,76,76,3
2021-11-14,87,Hurricane,Kanye West,63,6,11
2021-11-14,88,Cold Beer Calling My Name,Jameson Rodgers Featuring Luke Combs,66,26,19
2021-11-14,89,Jumpin,NLE Choppa Featuring Polo G,NEW,NLE Choppa Featuring Polo G,-
2021-11-14,90,Baddest,"Yung Bleu, Chris Brown & 2 Chainz",65,56,15
2021-11-14,91,Jugaste y Sufri,Eslabon Armado Featuring DannyLux,71,69,6
2021-11-14,92,For Tonight,Giveon,80,80,6
2021-11-14,93,Maybach,42 Dugg Featuring Future,74,68,7
2021-11-14,94,Too Easy,Gunna & Future,69,38,7
2021-11-14,95,Volvi,Aventura x Bad Bunny,72,22,15
2021-11-14,96,Praise God,Kanye West,78,20,7
2021-11-14,97,Super Gremlin,Kodak Black,NEW,Kodak Black,-
2021-11-14,98,Poke It Out,Wale Featuring J. Cole,79,79,3
2021-11-14,99,Half Of My Hometown,Kelsea Ballerini Featuring Kenny Chesney,87,87,3
2021-11-14,100,2055,Sleepy Hallow,77,51,17
2021-11-21,1,All Too Well (Taylor's Version),Taylor Swift,NEW,Taylor Swift,-
2021-11-21,2,Easy On Me,Adele,1,1,6
2021-11-21,3,Stay,The Kid LAROI & Justin Bieber,2,1,19
2021-11-21,4,Industry Baby,Lil Nas X & Jack Harlow,3,1,17
2021-11-21,5,Smokin Out The Window,Silk Sonic (Bruno Mars & Anderson .Paak),8,5,2
2021-11-21,6,Bad Habits,Ed Sheeran,4,2,21
2021-11-21,7,Shivers,Ed Sheeran,5,5,10
2021-11-21,8,Heat Waves,Glass Animals,10,8,44
2021-11-21,9,Need To Know,Doja Cat,9,8,23
2021-11-21,10,Fancy Like,Walker Hayes,7,3,22
2021-11-21,11,Cold Heart (PNAU Remix),Elton John & Dua Lipa,14,11,11
2021-11-21,12,Way 2 Sexy,Drake Featuring Future & Young Thug,12,1,11
2021-11-21,13,Good 4 U,Olivia Rodrigo,15,1,27
2021-11-21,14,You Right,Doja Cat & The Weeknd,19,11,21
2021-11-21,15,Essence,Wizkid Featuring Justin Bieber & Tems,16,9,20
2021-11-21,16,Beggin',Maneskin,17,13,21
2021-11-21,17,Levitating,Dua Lipa,18,2,59
2021-11-21,18,State Of Grace (Taylor's Version),Taylor Swift,NEW,Taylor Swift,-
2021-11-21,19,One Right Now,Post Malone & The Weeknd,6,6,2
2021-11-21,20,Already Dead,Juice WRLD,NEW,Juice WRLD,-
2021-11-21,21,Kiss Me More,Doja Cat Featuring SZA,20,3,32
2021-11-21,22,I Bet You Think About Me (Taylor's Version) (From The Vault),Taylor Swift Featuring Chris Stapleton,NEW,Taylor Swift Featuring Chris Stapleton,-
2021-11-21,23,Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),46,1,37
2021-11-21,24,If I Didn't Love You,Jason Aldean & Carrie Underwood,21,15,17
2021-11-21,25,Red (Taylor's Version),Taylor Swift,NEW,Taylor Swift,-
2021-11-21,26,Save Your Tears,The Weeknd & Ariana Grande,22,1,49
2021-11-21,27,Knife Talk,Drake Featuring 21 Savage & Project Pat,23,4,11
2021-11-21,28,Meet Me At Our Spot,THE ANXIETY: WILLOW & Tyler Cole,27,21,10
2021-11-21,29,Better Days,NEIKED X Mae Muller X Polo G,29,29,5
2021-11-21,30,Thinking 'Bout You,Dustin Lynch Featuring Lauren Alaina Or MacKenzie Porter,40,30,14
2021-11-21,31,Girls Want Girls,Drake Featuring Lil Baby,28,2,11
2021-11-21,32,Cold As You,Luke Combs,39,32,16
2021-11-21,33,Ghost,Justin Bieber,36,32,8
2021-11-21,34,Love Nwantiti (Ah Ah Ah),CKay,32,31,9
2021-11-21,35,Chasing After You,Ryan Hurd With Maren Morris,24,23,29
2021-11-21,36,All I Want For Christmas Is You,Mariah Carey,"RE-
ENTRY",Mariah Carey,-
2021-11-21,37,My Universe,Coldplay x BTS,43,1,8
2021-11-21,38,Buy Dirt,Jordan Davis Featuring Luke Bryan,30,30,15
2021-11-21,39,Thats What I Want,Lil Nas X,38,10,9
2021-11-21,40,Happier Than Ever,Billie Eilish,31,11,16
2021-11-21,41,Pepas,Farruko,37,25,17
2021-11-21,42,You Should Probably Leave,Chris Stapleton,47,39,20
2021-11-21,43,Nothing New (Taylor's Version) (From The Vault),Taylor Swift Featuring Phoebe Bridgers,NEW,Taylor Swift Featuring Phoebe Bridgers,-
2021-11-21,44,Who Want Smoke??,"Nardo Wick Featuring G Herbo, Lil Durk & 21 Savage",35,17,6
2021-11-21,45,Message In A Bottle (Taylor's Version) (From The Vault),Taylor Swift,NEW,Taylor Swift,-
2021-11-21,46,I Knew You Were Trouble (Taylor's Version),Taylor Swift,NEW,Taylor Swift,-
2021-11-21,47,Run (Taylor's Version) (From The Vault),Taylor Swift Featuring Ed Sheeran,NEW,Taylor Swift Featuring Ed Sheeran,-
2021-11-21,48,Montero (Call Me By Your Name),Lil Nas X,42,1,34
2021-11-21,49,Bad Man (Smooth Criminal),Polo G,NEW,Polo G,-
2021-11-21,50,Same Boat,Zac Brown Band,51,48,9
2021-11-21,51,Better Man (Taylor's Version) (From The Vault),Taylor Swift,NEW,Taylor Swift,-
2021-11-21,52,22 (Taylor's Version),Taylor Swift,NEW,Taylor Swift,-
2021-11-21,53,Doin' This,Luke Combs,NEW,Luke Combs,-
2021-11-21,54,Treacherous (Taylor's Version),Taylor Swift,NEW,Taylor Swift,-
2021-11-21,55,We Are Never Ever Getting Back Together (Taylor's Version),Taylor Swift,NEW,Taylor Swift,-
2021-11-21,56,No Love,Summer Walker & SZA,13,13,2
2021-11-21,57,Wild Side,Normani Featuring Cardi B,53,14,18
2021-11-21,58,Have Mercy,Chloe,55,28,10
2021-11-21,59,I Almost Do (Taylor's Version),Taylor Swift,NEW,Taylor Swift,-
2021-11-21,60,Chosen,Blxst & Tyga Featuring Ty Dolla $ign,61,53,8
2021-11-21,61,The Very First Night (Taylor's Version) (From The Vault),Taylor Swift,NEW,Taylor Swift,-
2021-11-21,62,Family Ties,Baby Keem & Kendrick Lamar,57,18,12
2021-11-21,63,Everything Has Changed (Taylor's Version),Taylor Swift Featuring Ed Sheeran,NEW,Taylor Swift Featuring Ed Sheeran,-
2021-11-21,64,Sand In My Boots,Morgan Wallen,69,32,18
2021-11-21,65,Gyalis,Capella Grey,58,38,16
2021-11-21,66,The Last Time (Taylor's Version),Taylor Swift Featuring Gary Lightbody Of Snow Patrol,NEW,Taylor Swift Featuring Gary Lightbody Of Snow Patrol,-
2021-11-21,67,Stay Stay Stay (Taylor's Version),Taylor Swift,NEW,Taylor Swift,-
2021-11-21,68,After Last Night,Silk Sonic (Bruno Mars & Anderson .Paak) With Thundercat & Bootsy Collins,NEW,Silk Sonic (Bruno Mars & Anderson .Paak) With Thundercat & Bootsy Collins,-
2021-11-21,69,Babe (Taylor's Version) (From The Vault),Taylor Swift,NEW,Taylor Swift,-
2021-11-21,70,Sharing Locations,Meek Mill Featuring Lil Baby & Lil Durk,62,22,12
2021-11-21,71,Escape Plan,Travis Scott,11,11,2
2021-11-21,72,One Mississippi,Kane Brown,63,59,8
2021-11-21,73,Blast Off,Silk Sonic (Bruno Mars & Anderson .Paak),NEW,Silk Sonic (Bruno Mars & Anderson .Paak),-
2021-11-21,74,Knowing You,Kenny Chesney,67,57,14
2021-11-21,75,Skate,Silk Sonic (Bruno Mars & Anderson .Paak),"RE-
ENTRY",Silk Sonic (Bruno Mars & Anderson .Paak),-
2021-11-21,76,Holy Ground (Taylor's Version),Taylor Swift,NEW,Taylor Swift,-
2021-11-21,77,Begin Again (Taylor's Version),Taylor Swift,NEW,Taylor Swift,-
2021-11-21,78,Put On A Smile,Silk Sonic (Bruno Mars & Anderson .Paak),NEW,Silk Sonic (Bruno Mars & Anderson .Paak),-
2021-11-21,79,Forever Winter (Taylor's Version) (From The Vault),Taylor Swift,NEW,Taylor Swift,-
2021-11-21,80,Whiskey And Rain,Michael Ray,75,67,7
2021-11-21,81,Fly As Me,Silk Sonic (Bruno Mars & Anderson .Paak),NEW,Silk Sonic (Bruno Mars & Anderson .Paak),-
2021-11-21,82,Super Gremlin,Kodak Black,97,82,2
2021-11-21,83,The Moment I Knew (Taylor's Version),Taylor Swift,NEW,Taylor Swift,-
2021-11-21,84,The Lucky One (Taylor's Version),Taylor Swift,NEW,Taylor Swift,-
2021-11-21,85,Sad Beautiful Tragic (Taylor's Version),Taylor Swift,NEW,Taylor Swift,-
2021-11-21,86,Fair Trade,Drake Featuring Travis Scott,66,3,11
2021-11-21,87,Come Back...Be Here (Taylor's Version),Taylor Swift,NEW,Taylor Swift,-
2021-11-21,88,Sad Girlz Luv Money,Amaarae & Moliy Featuring Kali Uchis,80,80,2
2021-11-21,89,Tequila Little Time,Jon Pardi,78,68,6
2021-11-21,90,Starlight (Taylor's Version),Taylor Swift,NEW,Taylor Swift,-
2021-11-21,91,Bubbly,Young Thug With Drake & Travis Scott,74,20,5
2021-11-21,92,Ex For A Reason,Summer Walker & JT,33,33,3
2021-11-21,93,Freedom Was A Highway,Jimmie Allen & Brad Paisley,84,82,6
2021-11-21,94,La Fama,Rosalia Featuring The Weeknd,NEW,Rosalia Featuring The Weeknd,-
2021-11-21,95,Big Energy,Latto,86,76,4
2021-11-21,96,Moth To A Flame,Swedish House Mafia & The Weeknd,71,27,4
2021-11-21,97,'Til You Can't,Cody Johnson,82,65,6
2021-11-21,98,Woman,Doja Cat,83,62,16
2021-11-21,99,Take My Breath,The Weeknd,70,6,15
2021-11-21,100,For Tonight,Giveon,92,80,7
2021-11-28,1,Easy On Me,Adele,2,1,7
2021-11-28,2,Stay,The Kid LAROI & Justin Bieber,3,1,20
2021-11-28,3,Industry Baby,Lil Nas X & Jack Harlow,4,1,18
2021-11-28,4,All Too Well (Taylor's Version),Taylor Swift,1,1,2
2021-11-28,5,Oh My God,Adele,NEW,Adele,-
2021-11-28,6,Shivers,Ed Sheeran,7,5,11
2021-11-28,7,Heat Waves,Glass Animals,8,7,45
2021-11-28,8,Bad Habits,Ed Sheeran,6,2,22
2021-11-28,9,Need To Know,Doja Cat,9,8,24
2021-11-28,10,Smokin Out The Window,Silk Sonic (Bruno Mars & Anderson .Paak),5,5,3
2021-11-28,11,Cold Heart (PNAU Remix),Elton John & Dua Lipa,11,11,12
2021-11-28,12,All I Want For Christmas Is You,Mariah Carey,36,1,46
2021-11-28,13,Fancy Like,Walker Hayes,10,3,23
2021-11-28,14,Rockin' Around The Christmas Tree,Brenda Lee,"RE-
ENTRY",Brenda Lee,-
2021-11-28,15,Good 4 U,Olivia Rodrigo,13,1,28
2021-11-28,16,Essence,Wizkid Featuring Justin Bieber & Tems,15,9,21
2021-11-28,17,Way 2 Sexy,Drake Featuring Future & Young Thug,12,1,12
2021-11-28,18,I Drink Wine,Adele,NEW,Adele,-
2021-11-28,19,You Right,Doja Cat & The Weeknd,14,11,22
2021-11-28,20,Jingle Bell Rock,Bobby Helms,"RE-
ENTRY",Bobby Helms,-
2021-11-28,21,One Right Now,Post Malone & The Weeknd,19,6,3
2021-11-28,22,Beggin',Maneskin,16,13,22
2021-11-28,23,My Little Love,Adele,NEW,Adele,-
2021-11-28,24,Levitating,Dua Lipa,17,2,60
2021-11-28,25,Kiss Me More,Doja Cat Featuring SZA,21,3,33
2021-11-28,26,Can I Get It,Adele,NEW,Adele,-
2021-11-28,27,A Holly Jolly Christmas,Burl Ives,"RE-
ENTRY",Burl Ives,-
2021-11-28,28,If I Didn't Love You,Jason Aldean & Carrie Underwood,24,15,18
2021-11-28,29,My Universe,Coldplay x BTS,37,1,9
2021-11-28,30,It's The Most Wonderful Time Of The Year,Andy Williams,"RE-
ENTRY",Andy Williams,-
2021-11-28,31,Save Your Tears,The Weeknd & Ariana Grande,26,1,50
2021-11-28,32,To Be Loved,Adele,NEW,Adele,-
2021-11-28,33,Knife Talk,Drake Featuring 21 Savage & Project Pat,27,4,12
2021-11-28,34,Better Days,NEIKED X Mae Muller X Polo G,29,29,6
2021-11-28,35,Buy Dirt,Jordan Davis Featuring Luke Bryan,38,30,16
2021-11-28,36,Thinking 'Bout You,Dustin Lynch Featuring Lauren Alaina Or MacKenzie Porter,30,30,15
2021-11-28,37,Love Nwantiti (Ah Ah Ah),CKay,34,31,10
2021-11-28,38,Ghost,Justin Bieber,33,32,9
2021-11-28,39,Meet Me At Our Spot,THE ANXIETY: WILLOW & Tyler Cole,28,21,11
2021-11-28,40,Last Christmas,Wham!,"RE-
ENTRY",Wham!,-
2021-11-28,41,Strangers By Nature,Adele,NEW,Adele,-
2021-11-28,42,Thats What I Want,Lil Nas X,39,10,10
2021-11-28,43,Girls Want Girls,Drake Featuring Lil Baby,31,2,12
2021-11-28,44,Cry Your Heart Out,Adele,NEW,Adele,-
2021-11-28,45,Happier Than Ever,Billie Eilish,40,11,17
2021-11-28,46,Cold As You,Luke Combs,32,32,17
2021-11-28,47,Pepas,Farruko,41,25,18
2021-11-28,48,Who Want Smoke??,"Nardo Wick Featuring G Herbo, Lil Durk & 21 Savage",44,17,7
2021-11-28,49,Hold On,Adele,NEW,Adele,-
2021-11-28,50,Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),23,1,38
2021-11-28,51,abcdefu,GAYLE,NEW,GAYLE,-
2021-11-28,52,You Should Probably Leave,Chris Stapleton,42,39,21
2021-11-28,53,All Night Parking (Interlude),Adele With Erroll Garner,NEW,Adele With Erroll Garner,-
2021-11-28,54,Same Boat,Zac Brown Band,50,48,10
2021-11-28,55,Woman Like Me,Adele,NEW,Adele,-
2021-11-28,56,Love Is A Game,Adele,NEW,Adele,-
2021-11-28,57,Have Mercy,Chloe,58,28,11
2021-11-28,58,Wild Side,Normani Featuring Cardi B,57,14,19
2021-11-28,59,One Mississippi,Kane Brown,72,59,9
2021-11-28,60,Chosen,Blxst & Tyga Featuring Ty Dolla $ign,60,53,9
2021-11-28,61,Already Dead,Juice WRLD,20,20,2
2021-11-28,62,Sand In My Boots,Morgan Wallen,64,32,19
2021-11-28,63,Super Gremlin,Kodak Black,82,63,3
2021-11-28,64,Family Ties,Baby Keem & Kendrick Lamar,62,18,13
2021-11-28,65,Gyalis,Capella Grey,65,38,17
2021-11-28,66,No Love,Summer Walker & SZA,56,13,3
2021-11-28,67,Whiskey And Rain,Michael Ray,80,67,8
2021-11-28,68,Bad Man (Smooth Criminal),Polo G,49,49,2
2021-11-28,69,Knowing You,Kenny Chesney,74,57,15
2021-11-28,70,I Bet You Think About Me (Taylor's Version) (From The Vault),Taylor Swift Featuring Chris Stapleton,22,22,2
2021-11-28,71,Sharing Locations,Meek Mill Featuring Lil Baby & Lil Durk,70,22,13
2021-11-28,72,Big Energy,Latto,95,72,5
2021-11-28,73,God's Country,State Of Mine & Drew Jacobs,NEW,State Of Mine & Drew Jacobs,-
2021-11-28,74,Message In A Bottle (Taylor's Version) (From The Vault),Taylor Swift,45,45,2
2021-11-28,75,Tequila Little Time,Jon Pardi,89,68,7
2021-11-28,76,Freedom Was A Highway,Jimmie Allen & Brad Paisley,93,76,7
2021-11-28,77,'Til You Can't,Cody Johnson,97,65,7
2021-11-28,78,Fair Trade,Drake Featuring Travis Scott,86,3,12
2021-11-28,79,Bubbly,Young Thug With Drake & Travis Scott,91,20,6
2021-11-28,80,Woman,Doja Cat,98,62,17
2021-11-28,81,Sad Girlz Luv Money,Amaarae & Moliy Featuring Kali Uchis,88,80,3
2021-11-28,82,Doin' This,Luke Combs,53,53,2
2021-11-28,83,For Tonight,Giveon,100,80,8
2021-11-28,84,Moth To A Flame,Swedish House Mafia & The Weeknd,96,27,5
2021-11-28,85,Enemy,Imagine Dragons X JID,NEW,Imagine Dragons X JID,-
2021-11-28,86,Red (Taylor's Version),Taylor Swift,25,25,2
2021-11-28,87,Memory I Don't Mess With,Lee Brice,"RE-
ENTRY",Lee Brice,-
2021-11-28,88,State Of Grace (Taylor's Version),Taylor Swift,18,18,2
2021-11-28,89,Heart On Fire,Eric Church,NEW,Eric Church,-
2021-11-28,90,Ex For A Reason,Summer Walker & JT,92,33,4
2021-11-28,91,Poke It Out,Wale Featuring J. Cole,"RE-
ENTRY",Wale Featuring J. Cole,-
2021-11-28,92,Half Of My Hometown,Kelsea Ballerini Featuring Kenny Chesney,"RE-
ENTRY",Kelsea Ballerini Featuring Kenny Chesney,-
2021-11-28,93,Volvi,Aventura x Bad Bunny,"RE-
ENTRY",Aventura x Bad Bunny,-
2021-11-28,94,Maybach,42 Dugg Featuring Future,"RE-
ENTRY",42 Dugg Featuring Future,-
2021-11-28,95,Baddest,"Yung Bleu, Chris Brown & 2 Chainz","RE-
ENTRY","Yung Bleu, Chris Brown & 2 Chainz",-
2021-11-28,96,Too Easy,Gunna & Future,"RE-
ENTRY",Gunna & Future,-
2021-11-28,97,Escape Plan,Travis Scott,71,11,3
2021-11-28,98,Who's In Your Head,Jonas Brothers,"RE-
ENTRY",Jonas Brothers,-
2021-11-28,99,Jugaste y Sufri,Eslabon Armado Featuring DannyLux,"RE-
ENTRY",Eslabon Armado Featuring DannyLux,-
2021-11-28,100,Take My Breath,The Weeknd,99,6,16
2021-12-05,1,Easy On Me,Adele,1,1,8
2021-12-05,2,Stay,The Kid LAROI & Justin Bieber,2,1,21
2021-12-05,3,All I Want For Christmas Is You,Mariah Carey,12,1,47
2021-12-05,4,Rockin' Around The Christmas Tree,Brenda Lee,14,2,41
2021-12-05,5,Jingle Bell Rock,Bobby Helms,20,3,38
2021-12-05,6,Industry Baby,Lil Nas X & Jack Harlow,3,1,19
2021-12-05,7,A Holly Jolly Christmas,Burl Ives,27,4,22
2021-12-05,8,Heat Waves,Glass Animals,7,7,46
2021-12-05,9,Shivers,Ed Sheeran,6,5,12
2021-12-05,10,Need To Know,Doja Cat,9,8,25
2021-12-05,11,It's The Most Wonderful Time Of The Year,Andy Williams,30,5,23
2021-12-05,12,Bad Habits,Ed Sheeran,8,2,23
2021-12-05,13,Cold Heart (PNAU Remix),Elton John & Dua Lipa,11,11,13
2021-12-05,14,Smokin Out The Window,Silk Sonic (Bruno Mars & Anderson .Paak),10,5,4
2021-12-05,15,Last Christmas,Wham!,40,9,21
2021-12-05,16,Feliz Navidad,Jose Feliciano,"RE-
ENTRY",Jose Feliciano,-
2021-12-05,17,Christmas (Baby Please Come Home),Darlene Love,"RE-
ENTRY",Darlene Love,-
2021-12-05,18,The Christmas Song (Merry Christmas To You),"Nat ""King"" Cole","RE-
ENTRY","Nat ""King"" Cole",-
2021-12-05,19,Sleigh Ride,The Ronettes,"RE-
ENTRY",The Ronettes,-
2021-12-05,20,It's Beginning To Look A Lot Like Christmas,Michael Buble,"RE-
ENTRY",Michael Buble,-
2021-12-05,21,All Too Well (Taylor's Version),Taylor Swift,4,1,3
2021-12-05,22,"Let It Snow, Let It Snow, Let It Snow!",Dean Martin,"RE-
ENTRY",Dean Martin,-
2021-12-05,23,Fancy Like,Walker Hayes,13,3,24
2021-12-05,24,abcdefu,GAYLE,51,24,2
2021-12-05,25,White Christmas,Bing Crosby With Ken Darby Singers & John Scott Trotter & His Orchestra,"RE-
ENTRY",Bing Crosby With Ken Darby Singers & John Scott Trotter & His Orchestra,-
2021-12-05,26,Good 4 U,Olivia Rodrigo,15,1,29
2021-12-05,27,Underneath The Tree,Kelly Clarkson,"RE-
ENTRY",Kelly Clarkson,-
2021-12-05,28,Essence,Wizkid Featuring Justin Bieber & Tems,16,9,22
2021-12-05,29,You Right,Doja Cat & The Weeknd,19,11,23
2021-12-05,30,Happy Holiday / The Holiday Season,Andy Williams,"RE-
ENTRY",Andy Williams,-
2021-12-05,31,Way 2 Sexy,Drake Featuring Future & Young Thug,17,1,13
2021-12-05,32,Beggin',Maneskin,22,13,23
2021-12-05,33,One Right Now,Post Malone & The Weeknd,21,6,4
2021-12-05,34,Kiss Me More,Doja Cat Featuring SZA,25,3,34
2021-12-05,35,Rudolph The Red-Nosed Reindeer,Gene Autry & The Pinafores,"RE-
ENTRY",Gene Autry & The Pinafores,-
2021-12-05,36,Santa Tell Me,Ariana Grande,"RE-
ENTRY",Ariana Grande,-
2021-12-05,37,Oh My God,Adele,5,5,2
2021-12-05,38,Save Your Tears,The Weeknd & Ariana Grande,31,1,51
2021-12-05,39,Ghost,Justin Bieber,38,32,10
2021-12-05,40,Run Rudolph Run,Chuck Berry,"RE-
ENTRY",Chuck Berry,-
2021-12-05,41,Knife Talk,Drake Featuring 21 Savage & Project Pat,33,4,13
2021-12-05,42,If I Didn't Love You,Jason Aldean & Carrie Underwood,28,15,19
2021-12-05,43,Thats What I Want,Lil Nas X,42,10,11
2021-12-05,44,Happier Than Ever,Billie Eilish,45,11,18
2021-12-05,45,Better Days,NEIKED X Mae Muller X Polo G,34,29,7
2021-12-05,46,(There's No Place Like) Home For The Holidays (1959),Perry Como With Mitchell Ayers And His Orchestra,"RE-
ENTRY",Perry Como With Mitchell Ayers And His Orchestra,-
2021-12-05,47,Love Nwantiti (Ah Ah Ah),CKay,37,31,11
2021-12-05,48,Meet Me At Our Spot,THE ANXIETY: WILLOW & Tyler Cole,39,21,12
2021-12-05,49,Thinking 'Bout You,Dustin Lynch Featuring Lauren Alaina Or MacKenzie Porter,36,30,16
2021-12-05,50,Girls Want Girls,Drake Featuring Lil Baby,43,2,13
2021-12-05,51,My Universe,Coldplay x BTS,29,1,10
